txn_id,merchant,settlement_net,status,category,reason,confidence,amount_diff,day_gap
txn_1005,Zepto,11201.74,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 3 days late.,0.85,0.0,3.0
txn_1007,Nykaa,1598.77,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 2 days late.,0.85,0.0,2.0
txn_1009,Lenskart,12225.69,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1011,Chaayos,11408.58,EXCEPTION,PARTIAL_REFUND,Bank credited ₹4190.27 less than ledger — likely a partial refund.,0.85,4190.27,0.0
txn_1012,Nykaa,4227.73,EXCEPTION,PARTIAL_REFUND,Bank credited ₹641.91 less than ledger — likely a partial refund.,0.85,641.91,0.0
txn_1013,Urban Company,3234.69,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 4 days late.,0.85,0.0,4.0
txn_1016,Meesho,3381.29,EXCEPTION,PARTIAL_REFUND,Bank credited ₹1148.26 less than ledger — likely a partial refund.,0.85,1148.26,0.0
txn_1018,BlueDart Logistics,3256.1,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1022,Boat Lifestyle,5988.91,EXCEPTION,MISSING,No matching bank entry found for this transaction.,0.95,,
txn_1023,Curefit,7586.17,EXCEPTION,ROUNDING_DRIFT,"Amount off by ₹2.65, likely rounding/conversion drift.",0.85,2.65,0.0
txn_1026,Meesho,12680.75,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 2 days late.,0.85,0.0,2.0
txn_1030,BlueDart Logistics,12822.0,EXCEPTION,PARTIAL_REFUND,Bank credited ₹3301.00 less than ledger — likely a partial refund.,0.85,3301.0,0.0
txn_1033,Zepto,1818.53,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1034,Lenskart,3669.01,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1035,BlueDart Logistics,1438.32,EXCEPTION,PARTIAL_REFUND,Bank credited ₹577.37 less than ledger — likely a partial refund.,0.85,577.37,0.0
txn_1036,Meesho,11303.66,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 4 days late.,0.85,0.0,4.0
txn_1038,Chaayos,13668.96,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 3 days late.,0.85,0.0,3.0
txn_1042,Zepto,3516.57,EXCEPTION,PARTIAL_REFUND,Bank credited ₹435.11 less than ledger — likely a partial refund.,0.85,435.11,0.0
txn_1047,Swiggy Instamart,12725.08,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 4 days late.,0.85,0.0,4.0
txn_1048,BlueDart Logistics,1075.13,EXCEPTION,PARTIAL_REFUND,Bank credited ₹145.67 less than ledger — likely a partial refund.,0.85,145.67,0.0
txn_1050,Curefit,4236.02,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1052,Meesho,12321.75,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1064,Urban Company,13752.98,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 3 days late.,0.85,0.0,3.0
txn_1065,Chaayos,4048.47,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 3 days late.,0.85,0.0,3.0
txn_1068,Chaayos,7533.35,EXCEPTION,MISSING,No matching bank entry found for this transaction.,0.95,,
txn_1070,Swiggy Instamart,12288.64,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 4 days late.,0.85,0.0,4.0
txn_1075,Lenskart,7526.45,EXCEPTION,DUPLICATE,Bank shows two credits for the same transaction ID.,0.98,,
txn_1076,Zepto,1534.7,EXCEPTION,PARTIAL_REFUND,Bank credited ₹177.31 less than ledger — likely a partial refund.,0.85,177.31,0.0
txn_1077,Urban Company,11380.31,EXCEPTION,MISSING,No matching bank entry found for this transaction.,0.95,,
txn_1078,Curefit,10946.82,EXCEPTION,TIMING_GAP,Amount matches within tolerance but credited 4 days late.,0.85,0.0,4.0
